"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
40,5,4,1,1,1,4,4,1,2,2
47,3,4,1,2,1,1,2,1,1,2
26,6,4,1,1,1,1,2,1,1,4
62,3,1,1,1,1,2,2,2,2,1
58,4,4,1,2,1,1,1,2,1,4
48,5,3,1,1,1,3,1,1,2,1
102,5,4,1,2,1,2,2,3,2,2
80,6,3,1,2,1,2,2,4,2,1
21,4,4,1,2,1,2,2,2,2,2
8,5,4,1,1,1,3,2,2,3,1
5,4,4,2,2,1,2,3,2,3,1
27,4,4,1,1,1,1,1,4,4,2
4,5,4,1,1,1,2,1,4,1,1
40,5,4,1,2,1,1,1,1,1,1
60,4,3,1,2,1,2,2,4,1,2
42,5,3,1,1,1,1,1,1,1,2
32,4,4,1,1,1,2,2,2,1,2
119,5,3,2,1,1,3,1,3,3,1
95,4,4,1,2,1,2,2,2,1,1
42,5,3,1,1,1,2,1,1,1,1
40,5,4,1,1,1,2,2,1,2,2
106,4,4,1,1,1,2,2,1,2,1
106,4,4,1,1,1,1,4,1,2,1
57,6,4,1,2,1,2,2,2,2,2
40,5,3,1,2,1,2,2,3,3,2
134,6,3,1,1,1,2,2,1,3,1
57,6,3,2,2,1,1,1,2,2,1
93,3,3,1,1,1,1,1,2,1,1
40,5,4,1,1,1,1,2,2,3,2
40,5,2,1,1,1,2,1,3,2,1
125,6,4,4,1,1,2,1,2,2,1
39,5,4,4,2,1,4,4,4,4,4
87,6,3,1,2,1,3,3,3,3,3
128,3,4,1,1,1,1,1,1,1,2
129,6,4,1,1,1,1,2,1,1,2
40,5,3,1,1,1,3,3,2,2,2
110,3,4,1,1,1,3,4,4,2,2
44,4,4,1,2,1,3,2,2,1,1
57,6,3,2,1,1,3,1,4,3,3
125,6,4,1,1,1,2,2,1,2,1
39,5,4,1,2,1,2,2,2,1,2
51,6,3,1,1,1,1,1,1,1,1
86,6,4,1,1,1,1,1,1,2,1
47,3,2,1,1,1,1,1,1,1,1
8,5,3,1,1,1,1,1,1,1,2
26,6,3,1,1,1,1,1,1,1,1
9,3,4,1,2,1,2,2,1,1,4
26,6,2,1,2,1,2,1,1,1,1
40,5,4,1,2,1,3,3,3,2,3
38,6,4,1,2,1,1,2,1,1,2
26,6,3,1,2,1,1,2,2,1,1
87,6,4,2,1,1,1,2,2,2,1
72,5,4,1,1,1,1,1,2,2,1
125,6,4,1,1,1,1,2,1,1,1
98,6,1,2,1,1,1,1,1,1,1
64,6,4,1,2,1,2,2,2,4,2
8,5,4,1,2,1,2,2,3,2,1
40,5,4,1,1,1,1,2,1,1,1
131,3,4,1,2,1,2,2,2,3,1
47,3,2,1,2,1,2,1,1,2,2
40,5,3,1,1,1,1,1,2,1,1
1,6,3,1,2,1,1,2,2,1,1
26,6,4,1,1,1,2,2,3,1,1
102,5,4,1,1,1,2,2,3,3,1
47,3,3,1,2,1,2,2,2,1,2
72,5,3,1,2,1,2,2,2,2,2
118,4,4,1,1,1,2,2,1,1,1
102,5,2,3,2,1,2,2,1,1,1
125,6,4,1,1,1,3,1,1,2,2
72,5,3,1,2,1,3,2,4,2,1
84,4,3,2,1,1,1,1,1,2,2
125,6,4,1,1,1,2,2,3,3,3
8,5,4,1,1,1,2,2,1,3,1
40,5,4,1,2,1,1,4,4,2,1
125,6,3,1,2,1,2,3,3,2,1
40,5,3,1,1,1,1,2,2,2,2
40,5,4,1,1,1,3,3,3,2,2
8,5,4,1,1,1,2,2,2,2,1
26,6,3,1,2,1,1,1,1,1,1
125,6,2,1,1,1,1,2,1,3,1
57,6,4,2,1,1,2,1,1,1,3
78,5,3,1,1,1,2,2,1,2,1
26,6,1,1,1,1,1,3,1,1,1
4,5,4,2,2,1,3,1,1,1,1
47,3,4,1,2,1,3,2,3,4,3
98,6,4,1,2,1,2,2,3,2,2
125,6,1,2,2,1,1,1,3,3,3
40,5,3,2,1,1,2,1,3,1,1
26,6,2,1,2,1,1,1,1,1,2
80,6,4,1,2,1,1,1,1,1,2
125,6,2,1,1,1,2,2,1,3,1
8,5,3,1,2,1,3,4,4,3,3
87,6,4,2,2,1,2,4,4,3,1
8,5,4,1,2,1,2,2,3,1,2
40,5,4,1,2,1,2,2,4,2,1
2,4,4,1,1,1,1,2,3,3,2
82,6,4,1,2,1,2,2,1,1,1
26,6,4,2,1,1,2,1,2,4,2
40,5,2,1,1,1,2,2,2,1,1
134,6,4,1,1,1,2,4,4,2,4
134,6,4,1,1,1,2,4,4,2,2
118,4,3,1,2,1,1,2,2,2,2
89,6,4,1,2,1,2,2,2,3,2
42,5,4,1,1,1,2,2,4,1,1
72,5,2,2,1,1,2,2,2,1,1
27,4,3,4,2,1,3,2,1,2,3
26,6,3,2,1,1,1,2,3,2,1
125,6,3,1,1,1,1,1,1,1,1
40,5,4,1,2,1,2,2,2,3,1
1,6,4,1,2,1,2,2,3,3,4
72,5,4,1,1,1,2,1,2,2,4
26,6,4,2,1,1,2,2,3,2,1
102,5,3,4,2,1,1,1,1,1,1
106,4,4,1,1,1,1,1,1,1,1
1,6,4,1,2,1,2,2,1,1,2
79,2,1,2,2,1,1,2,1,3,3
51,6,3,1,2,1,2,3,2,2,3
105,4,3,1,2,1,2,1,1,2,1
125,6,4,1,1,1,1,1,1,1,1
110,3,3,3,1,1,2,2,4,4,1
125,6,3,1,1,1,1,2,2,1,1
80,6,4,1,2,1,2,1,2,3,3
125,6,4,1,2,1,1,1,1,2,1
110,3,4,1,2,1,2,2,1,1,1
98,6,4,1,2,1,3,1,3,3,3
28,3,4,1,2,1,3,1,1,2,2
109,1,4,1,2,1,2,2,3,3,3
110,3,4,1,1,1,1,2,1,1,1
